Raw;Country;RegionType;Region;CountyType;County;Included;LocalityType;Locality;StreetType;Street;HousingType;Housing;HostelType;Hostel;HouseNumberType;HouseNumber;HouseNumberAdditionally;SectionType;Section;ApartmentType;Apartment;RoomType;Room;Sector;FloorType;Floor;PostCode;Manually;NotAddress;Comment;AdditionalData
харківська 64033 кегичівський калинівка відсутня;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 29}];;;[{'start': 30, 'end': 39}];;;;;;;;;;;;;;;;;;;[{'start': 11, 'end': 16}];;;[{'start': 40, 'end': 48}];
дніпропетровська 49000 амур-нижньодніпровський дніпро донецьке шосе 15 276;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 46}];;;[{'start': 47, 'end': 53}];[{'start': 63, 'end': 67}];[{'start': 54, 'end': 62}];;;;;;[{'start': 68, 'end': 70}];;;;;[{'start': 71, 'end': 74}];;;;;;[{'start': 17, 'end': 22}];;;;
київ київ вул. я колоса д. 21 буд. кв. 1;;;[{'start': 0, 'end': 4}];;;;;[{'start': 5, 'end': 9}];[{'start': 10, 'end': 14}];[{'start': 15, 'end': 16}, {'start': 17, 'end': 23}];;;;;[{'start': 30, 'end': 34}];[{'start': 27, 'end': 29}];;;;[{'start': 35, 'end': 38}];[{'start': 39, 'end': 40}];;;;;;;;;;
дніпропетровська 52331 криничанський с. червона-українка вул. зелена 8;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 36}];;[{'start': 37, 'end': 39}];[{'start': 40, 'end': 56}];[{'start': 57, 'end': 61}];[{'start': 62, 'end': 68}];;;;;;[{'start': 69, 'end': 70}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;;
херсонська 10000 білозерський петрівське вул. харченко 22;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 29}];;;[{'start': 30, 'end': 40}];[{'start': 41, 'end': 45}];[{'start': 46, 'end': 54}];;;;;;[{'start': 55, 'end': 57}];;;;;;;;;;;[{'start': 11, 'end': 16}];;;;
полтавська 38630 котелевський сел. милорадове вул. шевченка 21;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 29}];;[{'start': 30, 'end': 34}];[{'start': 35, 'end': 45}];[{'start': 46, 'end': 50}];[{'start': 51, 'end': 59}];;;;;;[{'start': 60, 'end': 62}];;;;;;;;;;;[{'start': 11, 'end': 16}];;;;
одеська 67500 комінтернівський комінтернівське вулиця київська 5;;;[{'start': 0, 'end': 7}];;[{'start': 14, 'end': 30}];;;[{'start': 31, 'end': 46}];[{'start': 47, 'end': 53}];[{'start': 54, 'end': 62}];;;;;;[{'start': 63, 'end': 64}];;;;;;;;;;;[{'start': 8, 'end': 13}];;;;
одеська 65000 м. одеса вул. ак. глушко 22 104;;;[{'start': 0, 'end': 7}];;;;[{'start': 14, 'end': 16}];[{'start': 17, 'end': 22}];[{'start': 23, 'end': 27}];[{'start': 28, 'end': 38}];;;;;;[{'start': 39, 'end': 41}];;;;;[{'start': 42, 'end': 45}];;;;;;[{'start': 8, 'end': 13}];;;;
дніпропетровська 52200 м. жовті води вул. горького 23 26;;;[{'start': 0, 'end': 16}];;;;[{'start': 23, 'end': 25}];[{'start': 26, 'end': 36}];[{'start': 37, 'end': 41}];[{'start': 42, 'end': 50}];;;;;;[{'start': 51, 'end': 53}];;;;;[{'start': 54, 'end': 56}];;;;;;[{'start': 17, 'end': 22}];;;;
дніпропетровська 49000 дніпро пр. ім. газетиправда 106 526;;;[{'start': 0, 'end': 16}];;;;;[{'start': 23, 'end': 29}];[{'start': 30, 'end': 33}];[{'start': 34, 'end': 37}, {'start': 38, 'end': 50}];;;;;;[{'start': 51, 'end': 54}];;;;;[{'start': 55, 'end': 58}];;;;;;[{'start': 17, 'end': 22}];;;;
дніпропетровська 11111 м. дніпропетровськ вул. промислова 16 22;;;[{'start': 0, 'end': 16}];;;;[{'start': 23, 'end': 25}];[{'start': 26, 'end': 41}];[{'start': 42, 'end': 46}];[{'start': 47, 'end': 57}];;;;;;[{'start': 58, 'end': 60}];;;;;[{'start': 61, 'end': 63}];;;;;;[{'start': 17, 'end': 22}];;;;
донецька 86783 харцизький зугрес к. маркса 16 1;;;[{'start': 0, 'end': 8}];;[{'start': 15, 'end': 25}];;;[{'start': 26, 'end': 32}];;[{'start': 33, 'end': 42}];;;;;;[{'start': 43, 'end': 45}];;;;;[{'start': 46, 'end': 47}];;;;;;[{'start': 9, 'end': 14}];;;;
київська 07820 бородянський пісківка вул. ніни сосніної 11-б 7;;;[{'start': 0, 'end': 8}];;[{'start': 15, 'end': 27}];;;[{'start': 28, 'end': 36}];[{'start': 37, 'end': 41}];[{'start': 42, 'end': 55}];;;;;;[{'start': 56, 'end': 60}];;;;;[{'start': 61, 'end': 62}];;;;;;[{'start': 9, 'end': 14}];;;;
дніпропетровська 49000 индустриальный днепропетровск ул. дальневосточная 64 2;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 37}];;;[{'start': 38, 'end': 52}];[{'start': 53, 'end': 56}];[{'start': 57, 'end': 72}];;;;;;[{'start': 73, 'end': 75}];;;;;[{'start': 76, 'end': 77}];;;;;;[{'start': 17, 'end': 22}];;;;
запорізька 69000 запоріжжя радіаторна 27 а 32;;;[{'start': 0, 'end': 10}];;;;;[{'start': 17, 'end': 26}];;[{'start': 27, 'end': 37}];;;;;;[{'start': 38, 'end': 40}, {'start': 41, 'end': 42}];;;;;[{'start': 43, 'end': 45}];;;;;;[{'start': 11, 'end': 16}];;;;
харківська 61000 жовтневий харків вул. володимирська 15;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 26}];;;[{'start': 27, 'end': 33}];[{'start': 34, 'end': 38}];[{'start': 39, 'end': 52}];;;;;;[{'start': 53, 'end': 55}];;;;;;;;;;;[{'start': 11, 'end': 16}];;;;
дніпропетровська 51200 новомосковський м. новомосковськ пров. леваневського 60;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 38}];;[{'start': 39, 'end': 41}];[{'start': 42, 'end': 55}];[{'start': 56, 'end': 61}];[{'start': 62, 'end': 75}];;;;;;[{'start': 76, 'end': 78}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;;
київська 08161 києво-святошинський тарасівка вул. островського 22 а;;;[{'start': 0, 'end': 8}];;[{'start': 15, 'end': 34}];;;[{'start': 35, 'end': 44}];[{'start': 45, 'end': 49}];[{'start': 50, 'end': 62}];;;;;;[{'start': 63, 'end': 65}, {'start': 66, 'end': 67}];;;;;;;;;;;[{'start': 9, 'end': 14}];;;;
дніпропетровська 49000 м. дніпро ж/м тополь 22 31;;;[{'start': 0, 'end': 16}];;;;[{'start': 23, 'end': 25}];[{'start': 26, 'end': 32}];[{'start': 33, 'end': 36}];[{'start': 37, 'end': 43}];;;;;;[{'start': 44, 'end': 46}];;;;;[{'start': 47, 'end': 49}];;;;;;[{'start': 17, 'end': 22}];;;;
тернопільська 47140 шумський бриків вул. ----- буд. -;;;[{'start': 0, 'end': 13}];;[{'start': 20, 'end': 28}];;;[{'start': 29, 'end': 35}];[{'start': 36, 'end': 40}];[{'start': 41, 'end': 46}];;;;;[{'start': 47, 'end': 51}];[{'start': 52, 'end': 53}];;;;;;;;;;;[{'start': 14, 'end': 19}];;;;
чернігівська 17531 прилуцький смош вул. берегова буд. 50 корпус - кв. -;;;[{'start': 0, 'end': 12}];;[{'start': 19, 'end': 29}];;;[{'start': 30, 'end': 34}];[{'start': 35, 'end': 39}];[{'start': 40, 'end': 48}];[{'start': 57, 'end': 63}];[{'start': 64, 'end': 65}];;;[{'start': 49, 'end': 53}];[{'start': 54, 'end': 56}];;;;[{'start': 66, 'end': 69}];[{'start': 70, 'end': 71}];;;;;;[{'start': 13, 'end': 18}];;;;
київська 02090 м. київ таращанським рв гу мвс україни в київській обл.;;;[{'start': 0, 'end': 8}];;[{'start': 23, 'end': 35}];;[{'start': 15, 'end': 17}];[{'start': 18, 'end': 22}];;;;;;;;;;;;;;;;;;;[{'start': 9, 'end': 14}];;;[{'start': 56, 'end': 65}, {'start': 66, 'end': 70}];
дніпропетровська 53200 нікопольський м. нікополь вул краснодонська 1/1 10;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 36}];;[{'start': 37, 'end': 39}];[{'start': 40, 'end': 48}];[{'start': 49, 'end': 52}];[{'start': 53, 'end': 66}];;;;;;[{'start': 67, 'end': 70}];;;;;[{'start': 71, 'end': 73}];;;;;;[{'start': 17, 'end': 22}];;;;
харківська 61039 жовтневий м. харків пр-т постишева 14 3;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 26}];;[{'start': 27, 'end': 29}];[{'start': 30, 'end': 36}];[{'start': 37, 'end': 41}];[{'start': 42, 'end': 51}];;;;;;[{'start': 52, 'end': 54}];;;;;[{'start': 55, 'end': 56}];;;;;;[{'start': 11, 'end': 16}];;;;
херсонська 10000 генічеський м. генічеськ вул. курасова 9 б 18;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 28}];;[{'start': 29, 'end': 31}];[{'start': 32, 'end': 41}];[{'start': 42, 'end': 46}];[{'start': 47, 'end': 55}];;;;;;[{'start': 56, 'end': 57}, {'start': 58, 'end': 59}];;;;;[{'start': 60, 'end': 62}];;;;;;[{'start': 11, 'end': 16}];;;;
львівська 79000 франківський м. львів вул. симоненка буд 7 кв. 24;;;[{'start': 0, 'end': 9}];;[{'start': 16, 'end': 28}];;[{'start': 29, 'end': 31}];[{'start': 32, 'end': 37}];[{'start': 38, 'end': 42}];[{'start': 43, 'end': 52}];;;;;[{'start': 53, 'end': 56}];[{'start': 57, 'end': 58}];;;;[{'start': 59, 'end': 62}];[{'start': 63, 'end': 65}];;;;;;[{'start': 10, 'end': 15}];;;;
донецька 87500 маріуполь маріуполь пров. январський буд. 23-а’’;;;[{'start': 0, 'end': 8}];;;;;[{'start': 15, 'end': 24}];[{'start': 35, 'end': 40}];[{'start': 41, 'end': 51}];;;;;[{'start': 52, 'end': 56}];[{'start': 57, 'end': 63}];;;;;;;;;;;[{'start': 9, 'end': 14}];;;;
черкаська 49000 драбівський с. гречанівка вул. відсутня буд. відсутній кв. відсутня;;;[{'start': 0, 'end': 9}];;[{'start': 16, 'end': 27}];;[{'start': 28, 'end': 30}];[{'start': 31, 'end': 41}];[{'start': 42, 'end': 46}];;;;;;[{'start': 56, 'end': 60}];;;;;[{'start': 71, 'end': 74}];;;;;;;[{'start': 10, 'end': 15}];;;[{'start': 47, 'end': 55}];
київська 09100 білоцерківський біла церква бул. 50 р. перемоги 88 6;;;[{'start': 0, 'end': 8}];;[{'start': 15, 'end': 30}];;;[{'start': 31, 'end': 35}, {'start': 36, 'end': 42}];[{'start': 43, 'end': 47}];[{'start': 51, 'end': 53}, {'start': 54, 'end': 62}];;;;;;[{'start': 63, 'end': 65}];;;;;[{'start': 66, 'end': 67}];;;;;;[{'start': 9, 'end': 14}];;;;
дніпропетровська 52300 криничанський кринички вулиця молодіжна 32;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 36}];;;[{'start': 37, 'end': 45}];[{'start': 46, 'end': 52}];[{'start': 53, 'end': 62}];;;;;;[{'start': 63, 'end': 65}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;;
київ 01001 солом’янський м. київ вул. суздальська 4/6;;;[{'start': 0, 'end': 4}];;[{'start': 11, 'end': 24}];;[{'start': 25, 'end': 27}];[{'start': 28, 'end': 32}];[{'start': 33, 'end': 37}];[{'start': 38, 'end': 49}];;;;;;[{'start': 50, 'end': 53}];;;;;;;;;;;[{'start': 5, 'end': 10}];;;;
харківська 61000 ленінський харків пров. борщівський 9;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 27}];;;[{'start': 28, 'end': 34}];[{'start': 35, 'end': 40}];[{'start': 41, 'end': 52}];;;;;;[{'start': 53, 'end': 54}];;;;;;;;;;;[{'start': 11, 'end': 16}];;;;
дніпропетровська 51200 новомосковський м. новомосковськ вул. з. білої 01 66;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 38}];;[{'start': 39, 'end': 41}];[{'start': 42, 'end': 55}];[{'start': 56, 'end': 60}];[{'start': 61, 'end': 63}, {'start': 64, 'end': 69}];;;;;;[{'start': 70, 'end': 72}];;;;;[{'start': 73, 'end': 75}];;;;;;[{'start': 17, 'end': 22}];;;;
луганська 94343 городище горького 24;;;[{'start': 0, 'end': 9}];;;;;[{'start': 16, 'end': 24}];;[{'start': 25, 'end': 33}];;;;;;[{'start': 34, 'end': 36}];;;;;;;;;;;[{'start': 10, 'end': 15}];;;;
дніпропетровська 53200 нікопольський м. нікополь вул. к. лібкнехта буд. 148 гурт. кв. 51;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 36}];;[{'start': 37, 'end': 39}];[{'start': 40, 'end': 48}];[{'start': 49, 'end': 53}];[{'start': 54, 'end': 56}, {'start': 57, 'end': 66}];;;[{'start': 76, 'end': 81}];;[{'start': 67, 'end': 71}];[{'start': 72, 'end': 75}];;;;[{'start': 82, 'end': 85}];[{'start': 86, 'end': 88}];;;;;;[{'start': 17, 'end': 22}];;;;
київська броварський р-н с рожни вул. старе село 1 буд. кв. 2090;;;[{'start': 0, 'end': 8}];[{'start': 21, 'end': 24}];[{'start': 9, 'end': 20}];;[{'start': 25, 'end': 26}];[{'start': 27, 'end': 32}];[{'start': 33, 'end': 37}];[{'start': 38, 'end': 43}, {'start': 44, 'end': 48}];;;;;[{'start': 51, 'end': 55}];[{'start': 49, 'end': 50}];;;;[{'start': 56, 'end': 59}];[{'start': 60, 'end': 64}];;;;;;;;;;
київська 02218 киев радужная 37 кв 36;;;[{'start': 0, 'end': 8}];;;;;[{'start': 15, 'end': 19}];;[{'start': 20, 'end': 28}];;;;;;[{'start': 29, 'end': 31}];;;;[{'start': 32, 'end': 34}];[{'start': 35, 'end': 37}];;;;;;[{'start': 9, 'end': 14}];;;;
дніпропетровська 49000 дніпропетровський п. кировка улл. куйбешева 70;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 40}];;[{'start': 41, 'end': 43}];[{'start': 44, 'end': 51}];[{'start': 52, 'end': 56}];[{'start': 57, 'end': 66}];;;;;;[{'start': 67, 'end': 69}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;;
херсонська 73485 херсон антонівка вулиця будьоного 7 а;;;[{'start': 0, 'end': 10}];;;[{'start': 17, 'end': 23}];;[{'start': 24, 'end': 33}];[{'start': 34, 'end': 40}];[{'start': 41, 'end': 50}];;;;;;[{'start': 51, 'end': 52}, {'start': 53, 'end': 54}];;;;;;;;;;;[{'start': 11, 'end': 16}];;;;
дніпропетровська 53200 нікопольський нікополь с українка вул. садова 33;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 36}];[{'start': 37, 'end': 45}];[{'start': 46, 'end': 47}];[{'start': 48, 'end': 56}];[{'start': 57, 'end': 61}];[{'start': 62, 'end': 68}];;;;;;[{'start': 69, 'end': 71}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;;
донецька 49000 дніпро дніпро вул інженерна 12 72;;;[{'start': 0, 'end': 8}];;[{'start': 15, 'end': 21}];;;[{'start': 22, 'end': 28}];[{'start': 29, 'end': 32}];[{'start': 33, 'end': 42}];;;;;;[{'start': 43, 'end': 45}];;;;;[{'start': 46, 'end': 48}];;;;;;[{'start': 9, 'end': 14}];;;;
кіровоградська 01001 київ київ пр. маяковського 42/13 93;;;[{'start': 0, 'end': 14}];;[{'start': 21, 'end': 25}];;;[{'start': 26, 'end': 30}];[{'start': 31, 'end': 34}];[{'start': 35, 'end': 47}];;;;;;[{'start': 48, 'end': 53}];;;;;[{'start': 54, 'end': 56}];;;;;;[{'start': 15, 'end': 20}];;;;
дніпропетровська 50000 кривий ріг кривий ріг вул. мкр. сонячний 22 101;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 29}, {'start': 30, 'end': 33}];;;[{'start': 34, 'end': 40}, {'start': 41, 'end': 44}];[{'start': 45, 'end': 49}, {'start': 50, 'end': 54}];[{'start': 55, 'end': 63}];;;;;;[{'start': 64, 'end': 66}];;;;;[{'start': 67, 'end': 70}];;;;;;[{'start': 17, 'end': 22}];;;;
дніпропетровська 50000 кривий ріг кривий ріг вул. космонавтів 27 104;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 29}, {'start': 30, 'end': 33}];;;[{'start': 34, 'end': 40}, {'start': 41, 'end': 44}];[{'start': 45, 'end': 49}];[{'start': 50, 'end': 61}];;;;;;[{'start': 62, 'end': 64}];;;;;[{'start': 65, 'end': 68}];;;;;;[{'start': 17, 'end': 22}];;;;
дніпропетровська 49000 томаківський с. настасівка томаківський р-н вул. петровського 68;;;[{'start': 0, 'end': 16}];[{'start': 63, 'end': 66}];[{'start': 50, 'end': 62}];;[{'start': 36, 'end': 38}];[{'start': 39, 'end': 49}];[{'start': 67, 'end': 71}];[{'start': 72, 'end': 84}];;;;;;[{'start': 85, 'end': 87}];;;;;;;;;;;[{'start': 17, 'end': 22}];;;;
дніпропетровська 52340 с. світлогірське дніпропетровська обл. криничанський район с. сві;;[{'start': 57, 'end': 61}];[{'start': 40, 'end': 56}];[{'start': 76, 'end': 81}];[{'start': 62, 'end': 75}];;[{'start': 23, 'end': 25}];[{'start': 26, 'end': 39}];;;;;;;;;;;;;;;;;;;[{'start': 17, 'end': 22}];;;;
сумська 02090 м . кромвіль вул. 8 березня 34;;;[{'start': 0, 'end': 7}];;;;[{'start': 14, 'end': 15}, {'start': 16, 'end': 17}];[{'start': 18, 'end': 26}];[{'start': 27, 'end': 31}];[{'start': 32, 'end': 33}, {'start': 34, 'end': 41}];;;;;;[{'start': 42, 'end': 44}];;;;;;;;;;;[{'start': 8, 'end': 13}];;;;
дніпропетровська 49600 смт. черкаське вул. лісна 2 78;;;[{'start': 0, 'end': 16}];;;;[{'start': 23, 'end': 27}];[{'start': 28, 'end': 37}];[{'start': 38, 'end': 42}];[{'start': 43, 'end': 48}];;;;;;[{'start': 49, 'end': 50}];;;;;[{'start': 51, 'end': 53}];;;;;;[{'start': 17, 'end': 22}];;;;
херсонська 74701 нижньосірогозький нижні сірогози вул. калініна 31;;;[{'start': 0, 'end': 10}];;[{'start': 17, 'end': 34}];;;[{'start': 35, 'end': 40}, {'start': 41, 'end': 49}];[{'start': 50, 'end': 54}];[{'start': 55, 'end': 63}];;;;;;[{'start': 64, 'end': 66}];;;;;;;;;;;[{'start': 11, 'end': 16}];;;;
київ 01000 київ київ вул. ново-даркиївницька 6 40;;;[{'start': 0, 'end': 4}];;[{'start': 11, 'end': 15}];;;[{'start': 16, 'end': 20}];[{'start': 21, 'end': 25}];[{'start': 26, 'end': 44}];;;;;;[{'start': 45, 'end': 46}];;;;;[{'start': 47, 'end': 49}];;;;;;[{'start': 5, 'end': 10}];;;;
дніпропетровська 50000 кривий ріг кривий ріг вул. рахманінова буд. 4 а секція 3 кв. 10;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 29}, {'start': 30, 'end': 33}];;;[{'start': 34, 'end': 40}, {'start': 41, 'end': 44}];[{'start': 45, 'end': 49}];[{'start': 50, 'end': 61}];;;;;[{'start': 62, 'end': 66}];[{'start': 67, 'end': 68}, {'start': 69, 'end': 70}];;;;[{'start': 80, 'end': 83}];[{'start': 84, 'end': 86}];;;[{'start': 71, 'end': 77}, {'start': 78, 'end': 79}];;;[{'start': 17, 'end': 22}];;;;
сумська 40000 суми вул. прокоф’єва буд. 44/2 корп. кв. 128;;;[{'start': 0, 'end': 7}];;;;;[{'start': 14, 'end': 18}];[{'start': 19, 'end': 23}];[{'start': 24, 'end': 34}];[{'start': 45, 'end': 50}];;;;[{'start': 35, 'end': 39}];[{'start': 40, 'end': 44}];;;;[{'start': 51, 'end': 54}];[{'start': 55, 'end': 58}];;;;;;[{'start': 8, 'end': 13}];;;;
дніпропетровська 51201 новомосковський новомосковськ червоноармійська 11 26;;;[{'start': 0, 'end': 16}];;[{'start': 23, 'end': 38}];;;[{'start': 39, 'end': 52}];;[{'start': 53, 'end': 69}];;;;;;[{'start': 70, 'end': 72}];;;;;[{'start': 73, 'end': 75}];;;;;;[{'start': 17, 'end': 22}];;;;
київ 01111 київ вул. саперно-слобідська 8 159;;;[{'start': 0, 'end': 4}];;;;;[{'start': 11, 'end': 15}];[{'start': 16, 'end': 20}];[{'start': 21, 'end': 39}];;;;;;[{'start': 40, 'end': 41}];;;;;[{'start': 42, 'end': 45}];;;;;;[{'start': 5, 'end': 10}];;;;
київська 08131 сквирський софіївська борщагівка вулиця толстого 20;;;[{'start': 0, 'end': 8}];;[{'start': 15, 'end': 25}];;;[{'start': 26, 'end': 36}, {'start': 37, 'end': 47}];[{'start': 48, 'end': 54}];[{'start': 55, 'end': 63}];;;;;;[{'start': 64, 'end': 66}];;;;;;;;;;;[{'start': 9, 'end': 14}];;;;
